name;@lat;@lon
Autoestrada do Atlántico;42.2252862;-8.6439630
Estrada Vella de Madrid;42.2173866;-8.6807676
Estrada Vella de Madrid;42.2175439;-8.6803288
Estrada Vella de Madrid;42.2173236;-8.6804770
Estrada Vella de Madrid;42.2173028;-8.6807909
Rúa da Viña Grande;42.2103776;-8.6693333
Estrada Vella de Madrid;42.2194143;-8.6850215
Estrada Vella de Madrid;42.2192953;-8.6852948
Estrada Vella de Madrid;42.2177568;-8.6800751
Rúa Manuel Álvarez;42.2214096;-8.6808145
Estrada Vella de Madrid;42.2172015;-8.6813308
Estrada Vella de Madrid;42.2164197;-8.6816853
Rúa Couto;42.2307880;-8.7227206
Rúa Trovador Meendiño;42.2301569;-8.7221063
Rúa de Manuel Olivié;42.2295635;-8.7216047
Paseo da Praia;42.3098154;-8.6202505
Rúa dos Castiñeiros;42.3090131;-8.6158795
Avenida Mendiño;42.2909510;-8.6127653
Avenida Mendiño;42.2863639;-8.6099898
Rúa Xeneral Rubín;42.2862917;-8.6097831
Rúa Alfonso XII;42.2820705;-8.6090683
Praza de Ribadavia;42.2818138;-8.6090927
Rúa Pai Crespo;42.2799079;-8.6104440
Praza de Ponteareas;42.2789936;-8.6107132
Paseo Xunqueira;42.2809223;-8.6106853
Avenida Ernestina Otero;42.2862820;-8.6104431
Rúa Lamelas;43.3356695;-8.4038241
Autoestrada do Atlántico;43.4878000;-8.1566025
Autoestrada do Atlántico;43.4801199;-8.1579456
Autoestrada do Atlántico;43.4286236;-8.1541462
Rúa da Bagunda;42.2242615;-8.6980268
Rúa de Gandarón;42.2177106;-8.7007139
Estrada de Fontefría;42.1728113;-8.6794818
Estrada de circunvalación do CUVI;42.1732118;-8.6822815
Estrada do Ferrovello;42.1674472;-8.6918302
Estrada de circunvalación do CUVI;42.1638153;-8.6781025
Estrada de Fontefría;42.1677750;-8.6918335
Estrada do Ferrovello;42.1674983;-8.6917807
Estrada de circunvalación do CUVI;42.1639213;-8.6782911
Estrada de circunvalación do CUVI;42.1639727;-8.6778267
Estrada da Fontefría;42.1731700;-8.6820560
Estrada das Pedras Miúdas;42.1666680;-8.6765675
Estrada de circunvalación do CUVI;42.1639140;-8.6778188
Rúa das Devesas;42.1641189;-8.6780114
Estrada de circunvalación do CUVI;42.1638573;-8.6782750
Estrada do Ferrovello;42.1656209;-8.6850209
Estrada de Fontefría;42.1678683;-8.6919689
Estrada da Fontefría;42.1732429;-8.6825276
Estrada da Fontefría;42.1732475;-8.6820499
Rúa Severino Covas;42.2279576;-8.6787814
Rúa Coutada Nova;42.2281083;-8.6781274
Avenida dos Naturais de Fene;43.4753507;-8.1662386
Rúa Galea;43.3470523;-8.2046094
Autoestrada do Atlántico;43.3572999;-8.2023451
Autoestrada do Atlántico;43.2890862;-8.2862674
Autoestrada do Atlántico;43.3316853;-8.1996801
Autoestrada do Atlántico;43.3989997;-8.1644417
Autoestrada do Atlántico;43.4353076;-8.1610796
Autoestrada do Atlántico;43.4926473;-8.1567514
Autoestrada do Atlántico;43.3305440;-8.2006010
Autoestrada do Atlántico;43.3305977;-8.2007414
Autoestrada do Atlántico;43.3941916;-8.1710536
Autoestrada do Atlántico;43.4288459;-8.1539399
Autoestrada do Atlántico;43.4877405;-8.1560245
Autoestrada do Atlántico;43.4240877;-8.1505603
Rúa de Gondarisco;42.2366856;-8.6396222
Camiño da Xestiña;42.2179443;-8.6582659
Rúa da Becerreira;42.2184765;-8.6623111
Rúa da Becerreira;42.2135976;-8.6526182
Camiño Narxo;42.2202396;-8.6597507
Rúa Molais;42.2248004;-8.6534102
Ponte de Lagares;42.2265644;-8.6438895
Autoestrada do Atlántico;42.2253148;-8.6441175
Rúa Lomba;42.2359320;-8.6466496
Avenida de Santa Mariña;42.2205662;-8.6700071
Rúa Figueiras;42.2263246;-8.6618953
Avenida do Tranvia;42.2251554;-8.6659705
