name;@lat;@lon
Manzaneda;42.2732283;-7.2215718
Vilasantar;43.0758586;-8.0958297
Vilarmaior;43.3550536;-8.1265451
Vimianzo;43.0939775;-9.0442554
A Veiga;42.2678544;-6.9465931
Vilar de Barrio;42.1764025;-7.5664676
Frades;43.0495435;-8.2760179
A Illa de Arousa;42.5468005;-8.8940752
Pol;43.1427982;-7.3313738
Oza Cesuras;43.1938266;-8.1762846
Cerdedo Cotobade;42.5032717;-8.4561853
